,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed
0,2011-01-20 00:00:00,1,0,1,1,10.66,11.365,56,26.0027
1,2011-01-20 01:00:00,1,0,1,1,10.66,13.635,56,0.0
2,2011-01-20 02:00:00,1,0,1,1,10.66,13.635,56,0.0
3,2011-01-20 03:00:00,1,0,1,1,10.66,12.88,56,11.0014
4,2011-01-20 04:00:00,1,0,1,1,10.66,12.88,56,11.0014
5,2011-01-20 05:00:00,1,0,1,1,9.84,11.365,60,15.0013
6,2011-01-20 06:00:00,1,0,1,1,9.02,10.605,60,15.0013
7,2011-01-20 07:00:00,1,0,1,1,9.02,10.605,55,15.0013
8,2011-01-20 08:00:00,1,0,1,1,9.02,10.605,55,19.0012
9,2011-01-20 09:00:00,1,0,1,2,9.84,11.365,52,15.0013
10,2011-01-20 10:00:00,1,0,1,1,10.66,11.365,48,19.9995
11,2011-01-20 11:00:00,1,0,1,2,11.48,13.635,45,11.0014
12,2011-01-20 12:00:00,1,0,1,2,12.3,16.665,42,0.0
13,2011-01-20 13:00:00,1,0,1,2,11.48,14.395,45,7.0015
14,2011-01-20 14:00:00,1,0,1,2,12.3,15.15,45,8.9981
15,2011-01-20 15:00:00,1,0,1,2,13.12,15.91,45,12.998
16,2011-01-20 16:00:00,1,0,1,2,12.3,15.15,49,8.9981
17,2011-01-20 17:00:00,1,0,1,2,12.3,15.91,49,7.0015
18,2011-01-20 18:00:00,1,0,1,2,10.66,12.88,56,12.998
19,2011-01-20 19:00:00,1,0,1,1,10.66,11.365,56,22.0028
20,2011-01-20 20:00:00,1,0,1,2,10.66,12.12,60,19.0012
21,2011-01-20 21:00:00,1,0,1,2,9.84,11.365,60,16.9979
22,2011-01-20 22:00:00,1,0,1,2,9.84,10.605,65,19.0012
23,2011-01-20 23:00:00,1,0,1,2,9.84,10.605,65,22.0028
24,2011-01-21 00:00:00,1,0,1,2,9.84,11.365,70,16.9979
25,2011-01-21 01:00:00,1,0,1,2,9.84,11.365,70,16.9979
26,2011-01-21 02:00:00,1,0,1,3,9.84,12.12,75,11.0014
27,2011-01-21 03:00:00,1,0,1,3,9.02,10.605,80,19.9995
28,2011-01-21 04:00:00,1,0,1,2,9.02,12.88,87,6.0032
29,2011-01-21 05:00:00,1,0,1,1,9.84,9.85,60,27.9993
30,2011-01-21 06:00:00,1,0,1,1,9.02,10.605,55,16.9979
31,2011-01-21 07:00:00,1,0,1,1,8.2,9.09,51,19.0012
32,2011-01-21 08:00:00,1,0,1,1,8.2,9.09,47,22.0028
33,2011-01-21 09:00:00,1,0,1,1,8.2,9.09,51,23.9994
34,2011-01-21 10:00:00,1,0,1,1,8.2,8.335,47,31.0009
35,2011-01-21 11:00:00,1,0,1,1,9.02,9.09,41,31.0009
36,2011-01-21 12:00:00,1,0,1,1,9.02,9.09,27,39.0007
37,2011-01-21 13:00:00,1,0,1,1,8.2,7.575,21,39.0007
38,2011-01-21 14:00:00,1,0,1,1,8.2,7.575,25,35.0008
39,2011-01-21 15:00:00,1,0,1,1,6.56,6.06,26,30.0026
40,2011-01-21 16:00:00,1,0,1,1,6.56,6.82,26,23.9994
41,2011-01-21 17:00:00,1,0,1,1,5.74,6.06,28,23.9994
42,2011-01-21 18:00:00,1,0,1,1,4.92,6.06,30,16.9979
43,2011-01-21 19:00:00,1,0,1,1,4.92,5.305,30,22.0028
44,2011-01-21 20:00:00,1,0,1,1,4.1,3.79,33,27.9993
45,2011-01-21 21:00:00,1,0,1,1,3.28,3.79,38,19.0012
46,2011-01-21 22:00:00,1,0,1,1,2.46,1.515,41,26.0027
47,2011-01-21 23:00:00,1,0,1,1,2.46,2.275,38,22.0028
48,2011-01-22 00:00:00,1,0,0,1,1.64,1.515,45,16.9979
49,2011-01-22 01:00:00,1,0,0,2,1.64,0.0,41,26.0027
50,2011-01-22 02:00:00,1,0,0,2,1.64,1.515,41,16.9979
51,2011-01-22 03:00:00,1,0,0,2,1.64,1.515,41,19.0012
52,2011-01-22 04:00:00,1,0,0,2,0.82,0.76,48,19.9995
53,2011-01-22 06:00:00,1,0,0,2,0.82,1.515,44,15.0013
54,2011-01-22 07:00:00,1,0,0,1,0.82,0.76,44,19.0012
55,2011-01-22 08:00:00,1,0,0,1,0.82,0.0,44,22.0028
56,2011-01-22 09:00:00,1,0,0,1,1.64,1.515,41,16.9979
57,2011-01-22 10:00:00,1,0,0,2,1.64,3.03,41,11.0014
58,2011-01-22 11:00:00,1,0,0,2,2.46,3.79,38,8.9981
59,2011-01-22 12:00:00,1,0,0,2,2.46,5.305,38,7.0015
60,2011-01-22 13:00:00,1,0,0,1,3.28,8.335,35,0.0
61,2011-01-22 14:00:00,1,0,0,1,4.1,6.82,33,7.0015
62,2011-01-22 15:00:00,1,0,0,1,4.92,7.575,28,0.0
63,2011-01-22 16:00:00,1,0,0,1,4.92,6.82,28,12.998
64,2011-01-22 17:00:00,1,0,0,1,4.92,9.85,28,0.0
65,2011-01-22 18:00:00,1,0,0,1,3.28,4.545,35,12.998
66,2011-01-22 19:00:00,1,0,0,1,3.28,5.305,35,8.9981
67,2011-01-22 20:00:00,1,0,0,1,2.46,3.79,45,11.0014
68,2011-01-22 21:00:00,1,0,0,1,2.46,5.305,41,6.0032
69,2011-01-22 22:00:00,1,0,0,1,2.46,7.575,49,0.0
70,2011-01-22 23:00:00,1,0,0,1,1.64,3.79,57,7.0015
71,2011-01-23 00:00:00,1,0,0,1,1.64,3.79,57,7.0015
72,2011-01-23 01:00:00,1,0,0,1,1.64,3.79,57,7.0015
73,2011-01-23 02:00:00,1,0,0,1,0.82,3.03,62,8.9981
74,2011-01-23 03:00:00,1,0,0,1,0.82,3.03,62,8.9981
75,2011-01-23 05:00:00,1,0,0,2,1.64,3.79,57,7.0015
76,2011-01-23 06:00:00,1,0,0,2,1.64,3.79,57,7.0015
77,2011-01-23 07:00:00,1,0,0,1,3.28,5.305,58,11.0014
78,2011-01-23 08:00:00,1,0,0,1,2.46,3.79,62,11.0014
79,2011-01-23 09:00:00,1,0,0,1,4.1,3.79,54,23.9994
80,2011-01-23 10:00:00,1,0,0,1,5.74,5.305,46,26.0027
81,2011-01-23 11:00:00,1,0,0,1,5.74,6.82,43,15.0013
82,2011-01-23 12:00:00,1,0,0,1,6.56,6.06,37,31.0009
83,2011-01-23 13:00:00,1,0,0,1,5.74,5.305,33,26.0027
84,2011-01-23 14:00:00,1,0,0,1,6.56,6.82,28,23.9994
85,2011-01-23 15:00:00,1,0,0,1,6.56,6.82,28,23.9994
86,2011-01-23 16:00:00,1,0,0,1,6.56,6.82,26,22.0028
87,2011-01-23 17:00:00,1,0,0,1,5.74,5.305,26,26.0027
88,2011-01-23 18:00:00,1,0,0,1,4.92,6.06,30,16.9979
89,2011-01-23 19:00:00,1,0,0,1,4.92,6.06,30,19.0012
90,2011-01-23 20:00:00,1,0,0,1,4.1,5.305,36,16.9979
91,2011-01-23 21:00:00,1,0,0,1,4.1,5.305,36,12.998
92,2011-01-23 22:00:00,1,0,0,1,3.28,4.545,38,12.998
93,2011-01-23 23:00:00,1,0,0,1,2.46,3.03,41,15.0013
94,2011-01-24 00:00:00,1,0,1,1,2.46,3.03,41,12.998
95,2011-01-24 01:00:00,1,0,1,1,1.64,2.275,45,12.998
96,2011-01-24 03:00:00,1,0,1,1,1.64,1.515,45,16.9979
97,2011-01-24 04:00:00,1,0,1,1,0.82,3.03,48,8.9981
98,2011-01-24 05:00:00,1,0,1,1,0.82,3.03,48,8.9981
99,2011-01-24 06:00:00,1,0,1,1,0.82,3.79,48,6.0032
100,2011-01-24 07:00:00,1,0,1,1,0.82,6.06,48,0.0
101,2011-01-24 08:00:00,1,0,1,1,1.64,6.82,49,0.0
102,2011-01-24 09:00:00,1,0,1,1,2.46,7.575,41,0.0
103,2011-01-24 10:00:00,1,0,1,1,4.1,6.82,42,0.0
104,2011-01-24 11:00:00,1,0,1,1,4.1,6.06,46,8.9981
105,2011-01-24 12:00:00,1,0,1,2,4.92,6.82,42,12.998
106,2011-01-24 13:00:00,1,0,1,2,5.74,6.82,43,15.0013
107,2011-01-24 14:00:00,1,0,1,2,5.74,6.82,46,15.0013
